"nombres","apellidos","numero.lista","corporacion","partido","genero","nacimiento","tiempo.congreso","La.eutanasia","El.sexo.antes.del.matrimonio","El.matrimonio.homosexual","El.divorcio","El.consumo.de.marihuana","El.aborto","Estatuto.de.la.Ciudadanía.Juvenil","Justicia.Penal.Militar..Fuero.Militar","Reforma.a.la.Justicia.Ejecutivo","Implementación.del.TLC.con.Estados.Unidos..Ley.Lleras.2.0","Ley.estatutaria.de.reforma.a.la.salud"
"Angela Patricia","Muñoz Herrera","108","Representante a la Cámara","Partido Social de Unidad Nacional - Partido de la U","F",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Yadira Edith","Muñoz Marulanda","097","Senador de la República","Cambio Radical","F",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Jose Eliberto","Muñoz Moreno","50","Senador de la República","MIRA","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Williams Henry"," Muñoz Ospina","031","Senador de la República","Liberal Colombiano","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Álvaro","Muñoz Pinto","101","Representante a la Cámara","MIRA","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Deysi","Muñoz Ríos","101","Representante a la Cámara","MIRA","F",NA,0,"",NA,"disagree","disagree","disagree","disagree",NA,NA,NA,NA,NA
"José Arley","Muñoz Usuga","106","Representante a la Cámara","Alianza Verde","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Jorge","Muñoz Zapata","401","Representante a la Cámara","MIRA","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Lucrecia","Murcia Lozada","102","Representante a la Cámara","Liberal Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Juan Antonio ","Murcia Ocampo","103","Representante a la Cámara","MIRA","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Hector","Murillo","107","Representante a la Cámara","Partido Social de Unidad Nacional - Partido de la U","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Darling Tatiana ","Murillo Agrace","302","Representante a la Cámara","Fundación Intensidad","F",NA,0,"","","","","","",NA,NA,NA,NA,NA
"José Wilber","Murillo Hoyos","109","Representante a la Cámara","Liberal Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Juan Manuel","Murillo Martinez","116","Representante a la Cámara","Alianza Social Independiente","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"María Nayiver","Murillo Murillo","102","Representante a la Cámara","MIRA","F",NA,0,"",NA,"","","","",NA,NA,NA,NA,NA
"Fredy","Murillo Valencia","112","Representante a la Cámara","Alianza Verde","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Pedro Mary","Muvdi Aranguena","34","Senador de la República","Liberal Colombiano","M",1963,8,"","","","","","",NA,"agree","agree",NA,"agree"
"José David","Name Cardozo","022","Senador de la República","Partido Social de Unidad Nacional - Partido de la U","M",1968,8,"","","","","","","agree","","","",""
"Iván Leonidas","Name Vásquez","100","Senador de la República","Alianza Verde","M",1957,4,"","","","","","","agree","","","",""
"Diego Alberto","Naranjo Escobar","103","Representante a la Cámara","Conservador Colombiano","M",1964,8,"","","","","","",NA,"agree","agree",NA,"disagree"
"Arley","Naranjo Gasca","103","Representante a la Cámara","Centro Democrático","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Manuel Dimas","Naranjo Gomez","30","Senador de la República","Opción Ciudadana","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Luis Alexander","Naranjo Leon","109","Representante a la Cámara","Union Patriotica - Up","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Luisa Fernanda","Naranjo Orozco","104","Representante a la Cámara","Cambio Radical","F",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Yolanda","Naranjo Tamayo","402","Representante a la Cámara","Alianza Social Independiente","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"María del Pilar","Naranjo Tellez","104","Representante a la Cámara","MIRA","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Carlos Uriel","Naranjo Vélez","105","Representante a la Cámara","Conservador Colombiano","M",NA,2,"","","","","","",NA,NA,NA,NA,"agree"
"Felix Maria ","Narvaez Losada","53","Senador de la República","Conservador Colombiano","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Luis Alberto","Narvaez Santacruz","104","Representante a la Cámara","Union Patriotica - Up","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Liliana Maria","Navarro Ardila","103","Representante a la Cámara","Partido Social de Unidad Nacional - Partido de la U","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Virginia Segunda ","Navarro Lamadrid","103","Representante a la Cámara","Liberal Colombiano","F",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Maribel","Navarro Muñoz","103","Representante a la Cámara","Alianza Verde","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Wilder","Navarro Quintero","77","Senador de la República","Alianza Verde","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Fernando","Navarro Rodriguez","108","Representante a la Cámara","Alianza Verde","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Antonio José ","Navarro Wolff","1","Senador de la República","Alianza Verde","M",1948,8,NA,NA,"","","","",NA,NA,NA,NA,NA
"Jorge Armando","Navas Granados","105","Representante a la Cámara","Cambio Radical","M",1974,0,"disagree","disagree","disagree","disagree","","disagree",NA,NA,NA,NA,NA
"Yesid","Navas Peñaranda","101","Representante a la Cámara","Centro Democrático","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Carlos Germán ","Navas Talero","101","Representante a la Cámara","Polo Democrático Alternativo","M",1941,16,"","","","","","",NA,"disagree","disagree",NA,"disagree"
"Sonia Lucia","Navia Mosquera","28","Senador de la República","Centro Democrático","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"José de los Santos","Negrete Flórez","102","Representante a la Cámara","Conservador Colombiano","M",1960,4,NA,NA,"","","","",NA,NA,NA,NA,NA
"Dagoberto","Negrete Montiel","59","Senador de la República","MIRA","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Yuranni Andrea","Neira Rodríguez","102","Representante a la Cámara","MIRA","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"William","Niaza Ciacama","202","Senador de la República","Multietnia Colombia","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Cordell Ivan","Nicholson Carlson","101","Representante a la Cámara","Opción Ciudadana","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Diana Patricia","Nier Ortiz","103","Representante a la Cámara","MIRA","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Zoilo Cesar ","Nieto Diaz","401","Representante a la Cámara","Conservador Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Paola Andrea ","Nieto Londoño","104","Representante a la Cámara","Cambio Radical","",NA,0,"","","","","","",NA,NA,NA,NA,NA
