"MUN","DEP","CL","OIZ","MLR","JMS","EP","BLANCOS","SIN.MARCA","NULOS","POTENCIAL","TOTAL","DANE","GANADOR","VOTOS","BLANCOS.POR.CIENTO","ABTENCION"
"PALMAR DE VARELA","Atlántico",486,440,199,3598,104,175,12,29,19081,5043,"8520","JMS",5043,3.47015665278604,73.5705675803155
"PIOJO","Atlántico",30,499,34,1083,15,22,4,14,5662,1701,"8549","JMS",1701,1.2933568489124,69.9576121511833
"POLONUEVO","Atlántico",438,315,212,2919,106,115,12,47,11647,4164,"8558","JMS",4164,2.76176753121998,64.2483042843651
"PONEDERA","Atlántico",131,1367,146,2589,203,73,15,37,17219,4561,"8560","JMS",4561,1.60052620039465,73.5118183402056
"PUERTO COLOMBIA","Atlántico",1093,1406,599,4478,738,344,18,72,30558,8748,"8573","JMS",8748,3.93232738911751,71.3724720204202
"REPELON","Atlántico",243,481,142,5494,66,106,15,56,17487,6603,"8606","JMS",6603,1.60533091019234,62.2405215302796
"SABANAGRANDE","Atlántico",600,1055,448,3973,257,333,35,65,22004,6766,"8634","JMS",6766,4.92166715932604,69.2510452644974
"SABANALARGA","Atlántico",1160,2485,1090,16416,579,590,58,201,61435,22579,"8638","JMS",22579,2.61304752203375,63.2473345812648
"SANTA LUCIA","Atlántico",80,504,63,1786,84,16,6,14,9210,2553,"8675","JMS",2553,0.626713670191931,72.2801302931596
"SANTO TOMAS","Atlántico",1273,881,444,3021,241,245,22,31,24929,6158,"8685","JMS",6158,3.97856446898344,75.2978458823058
"SOLEDAD","Atlántico",9347,9775,4596,23942,2840,2596,344,652,253922,54092,"8758","JMS",54092,4.7992309398802,78.6973952631123
"SUAN","Atlántico",62,342,59,2693,27,36,2,27,9273,3248,"8770","JMS",3248,1.10837438423645,64.9735792084547
"TUBARA","Atlántico",331,423,287,2243,102,71,141,11,9569,3609,"8832","JMS",3609,1.96730396231643,62.2844602361793
"USIACURI","Atlántico",122,185,106,1890,71,51,6,20,7300,2451,"8849","JMS",2451,2.08078335373317,66.4246575342466
"BOGOTA. D.C.","Bogotá",501302,542432,366878,444051,392742,207783,4058,54989,5204003,2514235,"11001","OIZ",2514235,8.26426328485603,51.6865190123834
"ACHI","Bolívar",148,3909,121,1136,61,57,30,36,15286,5498,"13006","OIZ",5498,1.03674063295744,64.0324479916263
"ALTOS DEL ROSARIO","Bolívar",113,724,27,1255,20,28,11,25,6207,2203,"13030","JMS",2203,1.27099409895597,64.5078137586596
"ARENAL","Bolívar",179,315,149,843,21,28,4,11,5302,1550,"13042","JMS",1550,1.80645161290323,70.7657487740475
"ARJONA","Bolívar",1628,3226,869,4869,676,764,47,187,48396,12266,"13052","JMS",12266,6.22859938040111,74.6549301595173
"ARROYO HONDO","Bolívar",77,804,72,799,24,14,5,27,6550,1822,"13062","OIZ",1822,0.768386388583974,72.1832061068702
"BARRANCO DE LOBA","Bolívar",263,1759,90,1369,39,30,19,91,10513,3660,"13074","OIZ",3660,0.819672131147541,65.1859602397032
"CALAMAR","Bolívar",309,1940,189,2841,69,117,25,86,16955,5576,"13140","JMS",5576,2.09827833572453,67.1129460336184
"CANTAGALLO","Bolívar",316,368,332,637,29,44,10,11,5946,1747,"13160","JMS",1747,2.5186033199771,70.618903464514
"CARTAGENA","Bolívar",30538,45581,13266,37776,15044,9366,490,1603,692257,153664,"13001","OIZ",153664,6.0951166180758,77.8024635359411
"CICUCO","Bolívar",245,554,103,2143,31,39,8,21,8744,3144,"13188","JMS",3144,1.24045801526718,64.0439158279963
"CLEMENCIA","Bolívar",225,647,119,1703,107,56,9,47,9561,2913,"13222","JMS",2913,1.92241675248884,69.53247568246
"CORDOBA","Bolívar",181,1733,88,3590,24,52,24,21,12934,5713,"13212","JMS",5713,0.910204796079118,55.8295964125561
