"MUN","DEP","CL","OIZ","MLR","JMS","EP","BLANCOS","SIN.MARCA","NULOS","POTENCIAL","TOTAL","DANE","GANADOR"
"SAN CAYETANO","NortedeSantander",150,745,297,889,71,96,6,58,6409,2312,"54673","JMS"
"SANTIAGO","NortedeSantander",46,402,392,666,19,44,6,11,3231,1586,"54680","JMS"
"SARDINATA","NortedeSantander",201,2561,991,1193,138,200,46,177,16809,5507,"54720","OIZ"
"SILOS","NortedeSantander",34,1135,98,188,34,52,12,40,3874,1593,"54743","OIZ"
"TEORAMA","NortedeSantander",934,153,168,557,21,58,6,33,8328,1930,"54800","CL"
"TIBU","NortedeSantander",1090,1277,1703,2962,277,310,44,206,28248,7869,"54810","JMS"
"TOLEDO","NortedeSantander",207,2226,1294,748,95,206,54,165,11851,4995,"54820","OIZ"
"VILLA CARO","NortedeSantander",60,861,161,220,27,20,17,22,3596,1388,"54871","OIZ"
"VILLA DEL ROSARIO","NortedeSantander",1651,8903,3851,8553,1658,1209,62,673,74615,26560,"54874","OIZ"
"COLON","Putumayo",251,356,430,668,40,63,8,10,3985,1826,"86219","JMS"
"MOCOA","Putumayo",2258,2363,3079,3653,805,589,36,157,32512,12940,"86001","JMS"
"ORITO","Putumayo",1827,711,668,3304,579,245,40,153,24004,7527,"86320","JMS"
"PUERTO ASIS","Putumayo",1538,2303,2639,3404,589,550,40,254,37843,11317,"86568","JMS"
"PUERTO CAICEDO","Putumayo",326,190,489,1393,76,118,19,36,8272,2647,"86569","JMS"
"PUERTO GUZMAN","Putumayo",413,620,424,674,89,189,23,41,10298,2473,"86571","JMS"
"PUERTO LEGUIZAMO","Putumayo",330,1208,415,881,135,108,22,71,13346,3170,"86573","OIZ"
"SAN FRANCISCO","Putumayo",236,363,499,674,64,73,12,16,4485,1937,"86755","JMS"
"SAN MIGUEL (LA DORADA)","Putumayo",380,145,247,2003,141,80,17,45,10804,3058,"86757","JMS"
"SANTIAGO","Putumayo",216,240,528,733,66,41,15,13,5657,1852,"86760","JMS"
"SIBUNDOY","Putumayo",995,712,949,1257,180,159,8,42,9846,4302,"86749","JMS"
"VALLE DEL GUAMUEZ (LA HORMIGA)","Putumayo",1014,393,397,4940,244,211,31,105,21666,7335,"86865","JMS"
"VILLAGARZON","Putumayo",746,1235,1236,1153,157,176,27,97,14140,4827,"86885","MLR"
"ARMENIA","Quindío",15093,27648,17736,23552,14240,8228,414,3302,236387,110213,"63001","OIZ"
"BUENAVISTA","Quindío",93,290,244,400,160,54,11,28,2786,1280,"63111","JMS"
"CALARCA","Quindío",2849,8636,3993,5582,2274,1686,108,986,55831,26114,"63130","OIZ"
"CIRCASIA","Quindío",1019,3331,1689,2556,854,627,54,326,21111,10456,"63190","OIZ"
"CORDOBA","Quindío",188,715,171,759,213,88,26,114,4815,2274,"63212","JMS"
"FILANDIA","Quindío",394,1200,924,1065,600,253,30,169,9842,4635,"63272","OIZ"
"GENOVA","Quindío",286,1153,534,819,123,107,22,92,7107,3136,"63302","OIZ"
"LA TEBAIDA","Quindío",1796,3581,1581,3141,936,640,256,612,26127,12543,"63401","OIZ"
"MONTENEGRO","Quindío",1304,4505,1867,3727,948,797,94,736,31843,13978,"63470","OIZ"
"PIJAO","Quindío",234,1074,560,649,85,94,22,67,5976,2785,"63548","OIZ"
"QUIMBAYA","Quindío",1481,3146,2046,3580,777,663,65,472,28768,12230,"63594","JMS"
"SALENTO","Quindío",213,1070,281,568,259,153,9,64,5478,2617,"63690","OIZ"
"APIA","Risaralda",306,1911,1328,720,143,198,35,146,10259,4787,"66045","OIZ"
"BALBOA","Risaralda",114,1040,250,728,89,141,17,73,5409,2452,"66075","OIZ"
"BELEN DE UMBRIA","Risaralda",734,4182,2409,780,301,337,46,257,20783,9046,"66088","OIZ"
"DOSQUEBRADAS","Risaralda",8812,18718,14817,13390,6504,4697,251,2476,141950,69665,"66170","OIZ"
"GUATICA","Risaralda",252,2478,912,458,135,192,38,119,10134,4584,"66318","OIZ"
"LA CELIA","Risaralda",202,1141,893,387,81,104,25,96,6287,2929,"66383","OIZ"
"LA VIRGINIA","Risaralda",1610,3400,2682,3239,626,727,62,436,29774,12782,"66400","OIZ"
"MARSELLA","Risaralda",457,2653,1550,1070,256,310,50,205,15270,6551,"66440","OIZ"
"MISTRATO","Risaralda",400,1251,965,930,73,116,45,147,10418,3927,"66456","OIZ"
"PEREIRA","Risaralda",24768,47791,34409,33485,19315,11383,644,5362,377378,177157,"66001","OIZ"
"PUEBLO RICO","Risaralda",139,779,570,1158,62,78,34,61,8310,2881,"66572","JMS"
"QUINCHIA","Risaralda",1677,2259,616,2410,408,514,112,476,19061,8472,"66594","JMS"
"SANTA ROSA DE CABAL","Risaralda",3327,8182,7499,4142,2178,1615,136,776,56234,27855,"66682","OIZ"
"SANTUARIO","Risaralda",316,1853,1501,861,216,181,47,145,12223,5120,"66687","OIZ"
"PROVIDENCIA","SanAndrés",29,324,23,570,71,60,9,5,3876,1091,"88564","JMS"
"SAN ANDRES","SanAndrés",672,2296,556,2664,733,538,18,104,41767,7581,"88001","JMS"
"AGUADA","Santander",16,293,60,118,20,18,1,3,1436,529,"68013","OIZ"
"ALBANIA","Santander",46,460,388,334,22,32,11,25,3308,1318,"68020","OIZ"
"ARATOCA","Santander",186,1014,262,658,59,119,16,57,6190,2371,"68051","OIZ"
"BARBOSA","Santander",1358,2618,1301,2700,409,538,20,332,22974,9276,"68077","JMS"
"BARICHARA","Santander",228,861,505,486,118,160,14,81,6110,2453,"68079","OIZ"
"BARRANCABERMEJA","Santander",22201,10791,9170,20203,3869,2922,126,1775,155058,71057,"68081","CL"
"BETULIA","Santander",185,558,280,438,61,92,10,45,3871,1669,"68092","OIZ"
"BOLIVAR","Santander",187,1170,286,1371,56,132,24,88,8586,3314,"68101","JMS"
"BUCARAMANGA","Santander",36688,48652,36395,51945,20053,13320,285,3929,475132,211267,"68001","JMS"
"CABRERA","Santander",12,346,109,199,12,16,3,5,1607,702,"68121","OIZ"
"CALIFORNIA","Santander",31,443,107,54,31,61,13,24,1573,764,"68132","OIZ"
"CAPITANEJO","Santander",48,1050,438,265,30,38,4,52,4833,1925,"68147","OIZ"
"CARCASI","Santander",37,934,135,373,44,54,14,23,3644,1614,"68152","OIZ"
"CEPITA","Santander",22,406,44,324,7,26,4,10,1800,843,"68160","OIZ"
"CERRITO","Santander",152,791,198,763,65,87,14,58,4499,2128,"68162","OIZ"
"CHARALA","Santander",300,675,428,2474,93,192,24,63,9582,4249,"68167","JMS"
"CHARTA","Santander",69,961,180,404,29,43,6,8,3334,1700,"68169","OIZ"
"CHIMA","Santander",18,355,87,310,13,50,12,25,2348,870,"68176","OIZ"
"CHIPATA","Santander",57,227,76,1055,21,67,8,32,4104,1543,"68179","JMS"
"CIMITARRA","Santander",1134,3348,1001,2644,370,443,214,487,26172,9641,"68190","OIZ"
"CONCEPCION","Santander",92,919,112,784,58,95,6,31,4786,2097,"68207","OIZ"
"CONFINES","Santander",51,389,247,189,17,41,5,23,2267,962,"68209","OIZ"
"CONTRATACION","Santander",77,299,329,473,24,74,14,29,2770,1319,"68211","JMS"
"COROMORO","Santander",101,627,185,509,34,93,18,52,4047,1619,"68217","OIZ"
"CURITI","Santander",242,1461,602,925,149,168,14,86,8001,3647,"68229","OIZ"
"EL CARMEN","Santander",149,2825,668,876,85,172,39,131,10423,4945,"68235","OIZ"
"EL GUACAMAYO","Santander",20,344,85,215,12,24,3,17,1584,720,"68245","OIZ"
"EL PEÑON","Santander",73,414,46,692,34,44,14,26,3174,1343,"68250","JMS"
"EL PLAYON","Santander",191,1918,756,1235,82,128,34,150,11266,4494,"68255","OIZ"
"ENCINO","Santander",29,246,199,358,9,27,9,10,2040,887,"68264","JMS"
"ENCISO","Santander",84,396,307,454,45,57,2,23,3198,1368,"68266","JMS"
"FLORIAN","Santander",69,407,81,1058,31,52,7,13,4965,1718,"68271","JMS"
"FLORIDABLANCA","Santander",13581,18942,18824,18057,6702,4957,157,1668,168816,82888,"68276","OIZ"
"GALAN","Santander",36,610,186,179,32,40,8,19,2471,1110,"68296","OIZ"
"GAMBITA","Santander",34,428,170,621,19,57,10,32,3193,1371,"68298","JMS"
"GIRON","Santander",7254,11370,9526,10281,2792,2731,81,931,97590,44966,"68307","OIZ"
"GUACA","Santander",48,1039,342,524,45,66,12,44,5171,2120,"68318","OIZ"
"GUADALUPE","Santander",92,630,851,240,29,41,4,38,4204,1925,"68320","MLR"
"GUAPOTA","Santander",41,213,231,221,15,25,5,28,1842,779,"68322","MLR"
"GUAVATA","Santander",77,299,298,697,28,76,9,32,4446,1516,"68324","JMS"
"GUEPSA","Santander",152,281,188,759,27,92,5,31,4027,1535,"68327","JMS"
"HATO","Santander",57,180,88,440,15,40,9,34,1784,863,"68344","JMS"
"JESUS MARIA","Santander",50,323,292,350,15,56,5,20,3152,1111,"68368","JMS"
"JORDAN","Santander",17,146,229,33,20,11,2,5,1018,463,"68370","MLR"
"LA BELLEZA","Santander",62,1224,309,370,42,69,11,5,5182,2092,"68377","OIZ"
"LA PAZ","Santander",61,423,282,402,10,52,10,14,4077,1254,"68397","OIZ"
"LANDAZURI","Santander",210,1069,221,1270,58,155,25,130,9218,3138,"68385","JMS"
"LEBRIJA","Santander",959,5619,1805,3203,607,671,32,344,28034,13240,"68406","OIZ"
"LOS SANTOS","Santander",265,971,614,1146,191,190,22,115,8179,3514,"68418","JMS"
"MACARAVITA","Santander",15,522,136,155,6,14,5,4,2189,857,"68425","OIZ"
"MALAGA","Santander",706,2690,1766,1219,282,343,18,165,14869,7189,"68432","OIZ"
"MATANZA","Santander",104,1265,351,411,50,83,18,35,4847,2317,"68444","OIZ"
"MOGOTES","Santander",181,1122,550,660,124,190,19,177,7339,3023,"68464","OIZ"
"MOLAGAVITA","Santander",26,926,236,154,34,37,6,26,3571,1445,"68468","OIZ"
"OCAMONTE","Santander",67,663,187,501,40,67,7,29,3677,1561,"68498","OIZ"
"OIBA","Santander",354,1208,750,777,101,184,15,139,8124,3528,"68500","OIZ"
"ONZAGA","Santander",84,397,456,307,21,69,55,40,3793,1429,"68502","MLR"
"PALMAR","Santander",25,123,55,307,16,12,1,7,1308,546,"68522","JMS"
"PALMAS DEL SOCORRO","Santander",47,344,299,254,27,19,4,18,2412,1012,"68524","OIZ"
"PARAMO","Santander",94,491,305,279,61,97,6,34,2977,1367,"68533","OIZ"
"PIEDECUESTA","Santander",7183,11707,9320,9799,2920,2496,114,1277,93023,44816,"68547","OIZ"
"PINCHOTE","Santander",118,489,209,309,67,66,4,30,2917,1292,"68549","OIZ"
"PUENTE NACIONAL","Santander",426,1090,1162,1509,202,231,20,121,12323,4761,"68572","JMS"
"PUERTO PARRA","Santander",108,727,125,445,106,73,16,57,5211,1657,"68573","OIZ"
"PUERTO WILCHES","Santander",1656,2760,1353,2062,334,266,24,169,22147,8624,"68575","OIZ"
"RIONEGRO","Santander",452,3636,977,2628,246,436,29,256,21094,8660,"68615","OIZ"
"SABANA DE TORRES","Santander",819,2773,1243,1970,274,238,36,159,19187,7512,"68655","OIZ"
"SAN ANDRES","Santander",162,1191,395,1042,65,84,16,55,6944,3010,"68669","OIZ"
"SAN BENITO","Santander",30,286,111,478,17,38,5,20,2933,985,"68673","JMS"
"SAN GIL","Santander",3140,4231,3036,3241,1242,1161,39,408,37904,16498,"68679","OIZ"
"SAN JOAQUIN","Santander",40,262,164,267,15,43,9,18,2185,818,"68682","JMS"
"SAN JOSE DE MIRANDA","Santander",86,843,455,223,36,50,9,23,3863,1725,"68684","OIZ"
"SAN MIGUEL","Santander",19,442,139,191,22,42,13,9,2093,877,"68686","OIZ"
"SAN VICENTE DE CHUCURI","Santander",1224,3685,1208,2094,305,538,43,313,24221,9410,"68689","OIZ"
"SANTA BARBARA","Santander",38,377,136,175,25,28,9,23,1853,811,"68705","OIZ"
"SANTA HELENA DEL OPON","Santander",26,479,135,359,12,213,3,21,2989,1248,"68720","OIZ"
"SIMACOTA","Santander",147,984,226,915,48,96,19,64,5705,2499,"68745","OIZ"
"SOCORRO","Santander",988,2577,2479,2960,433,555,20,224,22206,10236,"68755","JMS"
"SUAITA","Santander",157,768,372,1349,82,173,11,93,8148,3005,"68770","JMS"
"SUCRE","Santander",91,1208,278,459,28,74,19,37,5917,2194,"68773","OIZ"
"SURATA","Santander",65,693,165,374,29,35,15,33,2803,1409,"68780","OIZ"
"TONA","Santander",155,791,189,814,64,168,23,123,4873,2327,"68820","JMS"
"VALLE DE SAN JOSE","Santander",188,663,396,498,62,88,9,35,4381,1939,"68855","OIZ"
"VELEZ","Santander",588,1528,908,2120,213,420,24,355,15968,6156,"68861","JMS"
"VETAS","Santander",18,430,105,57,11,38,3,26,1430,688,"68867","OIZ"
"VILLANUEVA","Santander",224,965,664,486,153,98,10,37,6217,2637,"68872","OIZ"
"ZAPATOCA","Santander",234,935,755,510,105,167,8,66,7120,2780,"68895","OIZ"
"BUENAVISTA","Sucre",162,859,122,2534,69,99,9,21,9190,3875,"70110","JMS"
"CAIMITO","Sucre",196,631,79,2841,24,64,10,31,8397,3876,"70124","JMS"
"CHALAN","Sucre",74,950,88,731,25,20,10,18,4352,1916,"70230","OIZ"
"COLOSO (RICAURTE)","Sucre",63,1208,74,1320,48,53,22,26,6486,2814,"70204","JMS"
"COROZAL","Sucre",2589,6042,857,6720,414,665,34,239,44135,17560,"70215","JMS"
"COVEÑAS","Sucre",288,1470,331,1947,96,141,16,63,10050,4352,"70221","JMS"
"EL ROBLE","Sucre",169,591,83,2033,26,90,19,21,7466,3032,"70233","JMS"
"GALERAS (NUEVA GRANADA)","Sucre",304,2293,349,2709,100,181,19,49,15009,6004,"70235","JMS"
"GUARANDA","Sucre",75,2458,114,1190,77,45,15,24,12014,3998,"70265","OIZ"
"LA UNION","Sucre",197,592,227,2171,55,86,12,14,9166,3354,"70400","JMS"
"LOS PALMITOS","Sucre",545,1986,270,4599,117,160,23,88,16691,7788,"70418","JMS"
"MAJAGUAL","Sucre",297,4424,288,4914,102,141,49,60,25071,10275,"70429","JMS"
"MORROA","Sucre",499,1899,226,2247,113,196,21,46,12154,5247,"70473","JMS"
"OVEJAS","Sucre",692,3412,195,4256,145,189,28,85,19495,9002,"70508","JMS"
"PALMITO","Sucre",275,870,292,2006,63,62,13,32,9233,3613,"70523","JMS"
"SAMPUES","Sucre",710,3176,569,7554,379,377,43,124,29234,12932,"70670","JMS"
"SAN BENITO ABAD","Sucre",306,2590,204,3523,96,104,23,55,17776,6901,"70678","JMS"
"SAN JUAN DE BETULIA (BETULIA)","Sucre",258,1499,186,2587,80,156,13,39,10833,4818,"70702","JMS"
"SAN MARCOS","Sucre",513,4709,514,6243,290,442,56,126,40135,12893,"70708","JMS"
"SAN ONOFRE","Sucre",1069,2464,348,7192,156,196,52,164,39570,11641,"70713","JMS"
"SAN PEDRO","Sucre",422,2219,291,3614,138,297,40,72,15727,7093,"70717","JMS"
"SINCE","Sucre",546,2782,629,4672,209,445,36,121,24765,9440,"70742","JMS"
"SINCELEJO","Sucre",9148,25192,4220,22411,2582,3378,179,1057,184217,68167,"70001","OIZ"
"SUCRE","Sucre",162,3545,206,3440,85,90,25,46,19826,7599,"70771","OIZ"
"TOLU","Sucre",769,2570,499,4230,196,343,26,140,21937,8773,"70820","JMS"
"TOLUVIEJO","Sucre",322,1778,251,4714,82,176,17,43,17338,7383,"70823","JMS"
"ALPUJARRA","Tolima",43,1007,292,194,20,45,4,23,3585,1628,"73024","OIZ"
"ALVARADO","Tolima",211,897,229,1273,128,141,27,62,8110,2968,"73026","JMS"
"AMBALEMA","Tolima",248,479,275,1334,72,100,8,80,6900,2596,"73030","JMS"
"ANZOATEGUI","Tolima",154,1792,169,301,58,79,19,53,7114,2625,"73043","OIZ"
"ARMERO (GUAYABAL)","Tolima",509,1244,455,1392,124,105,10,119,9969,3958,"73055","JMS"
"ATACO","Tolima",203,4445,274,953,101,108,39,77,14531,6200,"73067","OIZ"
"CAJAMARCA","Tolima",772,3837,810,820,424,452,47,260,15993,7422,"73124","OIZ"
"CARMEN DE APICALA","Tolima",233,1524,360,1449,88,183,8,86,8031,3931,"73148","OIZ"
"CASABIANCA","Tolima",93,1019,400,268,45,58,16,30,4763,1929,"73152","OIZ"
"CHAPARRAL","Tolima",880,6212,719,3574,357,511,65,262,36209,12580,"73168","OIZ"
"COELLO","Tolima",287,718,328,1170,112,98,14,49,7607,2776,"73200","JMS"
"COYAIMA","Tolima",1015,1663,382,2072,102,123,56,150,16594,5563,"73217","JMS"
"CUNDAY","Tolima",122,1626,394,578,37,117,9,27,7066,2910,"73226","OIZ"
"DOLORES","Tolima",165,1692,151,333,48,80,11,46,6440,2526,"73236","OIZ"
"ESPINAL","Tolima",2209,7828,4815,6372,1120,1387,70,693,55765,24494,"73268","OIZ"
"FALAN","Tolima",184,987,133,909,42,128,26,64,5684,2473,"73270","OIZ"
"FLANDES","Tolima",849,2512,1118,1812,222,307,20,181,16676,7021,"73275","OIZ"
"FRESNO","Tolima",774,4804,1692,1270,299,414,66,329,25411,9648,"73283","OIZ"
"GUAMO","Tolima",755,3358,3018,1770,254,290,56,215,25217,9716,"73319","OIZ"
"HERVEO","Tolima",182,1296,294,344,92,64,11,51,6014,2334,"73347","OIZ"
"HONDA","Tolima",1111,2555,1595,2608,389,428,29,325,22579,9040,"73349","JMS"
"IBAGUE","Tolima",25857,64321,23161,29093,19616,11319,362,5720,370044,179449,"73001","OIZ"
"ICONONZO","Tolima",347,1144,216,1212,85,160,19,65,8175,3248,"73352","JMS"
"LERIDA","Tolima",1218,1571,723,1820,180,227,20,129,14781,5888,"73408","JMS"
"LIBANO","Tolima",1827,5333,1229,2626,554,525,77,488,32391,12659,"73411","OIZ"
"MARIQUITA","Tolima",1369,5418,1153,2883,596,688,65,519,27396,12691,"73443","OIZ"
"MELGAR","Tolima",652,5803,1962,2223,454,452,24,239,25379,11809,"73449","OIZ"
"MURILLO","Tolima",89,473,301,149,30,76,9,53,3676,1180,"73461","OIZ"
"NATAGAIMA","Tolima",1009,1548,543,1844,97,129,25,92,15328,5287,"73483","JMS"
"ORTEGA","Tolima",730,3829,2110,2072,203,245,73,257,23501,9519,"73504","OIZ"
"PALOCABILDO","Tolima",306,1377,173,519,40,146,13,57,6967,2631,"73520","OIZ"
"PIEDRAS","Tolima",144,286,103,206,61,940,18,77,5387,1835,"73547","BLANCOS"
"PLANADAS","Tolima",567,2994,488,1401,275,302,58,211,18846,6296,"73555","OIZ"
"PRADO","Tolima",152,1594,223,884,55,86,16,70,7768,3080,"73563","OIZ"
"PURIFICACION","Tolima",1080,2217,1966,2328,241,283,34,238,19909,8387,"73585","JMS"
"RIOBLANCO","Tolima",282,2210,259,1267,168,325,73,100,15251,4684,"73616","OIZ"
"RONCESVALLES","Tolima",115,854,158,226,59,82,13,29,3970,1536,"73622","OIZ"
"ROVIRA","Tolima",354,3311,1048,888,175,207,125,117,18491,6225,"73624","OIZ"
"SALDAÑA","Tolima",671,1556,1452,553,227,187,21,147,12288,4814,"73671","OIZ"
"SAN ANTONIO","Tolima",154,2642,679,331,108,89,23,81,9834,4107,"73675","OIZ"
"SAN LUIS","Tolima",269,2059,532,1464,128,134,38,102,10808,4726,"73678","OIZ"
"SANTA ISABEL","Tolima",86,1138,365,310,23,52,7,26,5857,2007,"73686","OIZ"
"SUAREZ","Tolima",77,601,332,636,44,41,6,17,4357,1754,"73770","JMS"
"VALLE DE SAN JUAN","Tolima",88,748,794,281,29,33,9,24,4967,2006,"73854","MLR"
"VENADILLO","Tolima",342,1581,394,1614,124,178,24,121,11464,4378,"73861","JMS"
"VILLAHERMOSA","Tolima",131,1860,317,243,66,78,19,64,7002,2778,"73870","OIZ"
"VILLARRICA","Tolima",99,1448,64,326,26,42,16,25,5106,2046,"73873","OIZ"
"ALCALA","Valle",347,1282,567,1371,318,166,27,162,10950,4240,"76020","JMS"
"ANDALUCIA","Valle",1272,1129,2004,1794,337,392,120,198,19343,7246,"76036","MLR"
"ANSERMANUEVO","Valle",595,2508,2243,849,241,230,95,150,19162,6911,"76041","OIZ"
"ARGELIA","Valle",83,626,700,841,41,40,15,29,6423,2375,"76054","JMS"
"BOLIVAR","Valle",331,1438,1421,1031,158,184,12,82,13257,4657,"76100","OIZ"
"BUENAVENTURA","Valle",8395,7502,6566,32983,2538,2899,799,2634,207431,64316,"76109","JMS"
"BUGA","Valle",6822,6902,7390,11968,4116,2745,92,1301,95582,41336,"76111","JMS"
"BUGALAGRANDE","Valle",1780,1036,1411,2311,374,335,16,250,19210,7513,"76113","JMS"
"CAICEDONIA","Valle",807,3229,4026,1794,673,476,150,399,28020,11554,"76122","MLR"
"CALI","Valle",110022,98367,100584,128886,63898,35343,1106,11843,1549820,550049,"76001","JMS"
"CALIMA (DARIEN)","Valle",767,1141,1055,1267,257,209,20,117,13672,4833,"76126","JMS"
"CANDELARIA","Valle",5091,3326,4084,8368,1535,1466,69,1087,65386,25026,"76130","JMS"
"CARTAGO","Valle",5800,10711,9981,6493,3250,2313,127,1341,108329,40016,"76147","OIZ"
"DAGUA","Valle",796,4817,1582,3946,410,470,74,237,33433,12332,"76233","OIZ"
"EL AGUILA","Valle",152,1265,1163,315,106,129,18,89,8191,3237,"76243","OIZ"
"EL CAIRO","Valle",134,674,490,793,121,87,19,35,6717,2353,"76246","JMS"
"EL CERRITO","Valle",4419,2364,3609,5049,1174,877,210,525,51374,18227,"76248","JMS"
"EL DOVIO","Valle",158,601,1248,1118,98,95,46,67,9688,3431,"76250","MLR"
"FLORIDA","Valle",4376,2384,2974,4123,830,872,46,512,48039,16117,"76275","CL"
"GINEBRA","Valle",891,1284,1228,1791,567,328,18,198,15459,6305,"76306","JMS"
"GUACARI","Valle",1944,1137,1374,4681,524,485,29,319,26635,10493,"76318","JMS"
"JAMUNDI","Valle",5133,5662,4525,12050,2779,2096,84,1072,91151,33401,"76364","JMS"
"LA CUMBRE","Valle",464,1044,1075,1480,251,196,13,56,12307,4579,"76377","JMS"
"LA UNION","Valle",1068,3155,4558,1271,596,623,51,433,25329,11755,"76400","MLR"
"LA VICTORIA","Valle",430,1063,1555,889,136,185,14,136,11396,4408,"76403","MLR"
"OBANDO","Valle",437,995,442,1927,209,227,30,148,11167,4415,"76497","JMS"
"PALMIRA","Valle",19189,13941,14404,26186,8380,5387,343,2244,243441,90074,"76520","JMS"
"PRADERA","Valle",2497,2673,1975,5093,731,814,217,482,38903,14482,"76563","JMS"
"RESTREPO","Valle",331,1243,784,1465,242,271,23,118,14205,4477,"76606","JMS"
"RIOFRIO","Valle",988,1178,2286,924,226,211,36,189,15959,6038,"76616","MLR"
"ROLDANILLO","Valle",1164,2053,4823,2232,589,511,16,256,27445,11644,"76622","MLR"
"SAN PEDRO","Valle",619,1151,950,1956,260,247,93,137,14446,5413,"76670","JMS"
"SEVILLA","Valle",1841,3866,2225,3175,843,717,108,575,36736,13350,"76736","OIZ"
"TORO","Valle",231,1704,871,1106,201,159,30,128,12336,4430,"76823","OIZ"
"TRUJILLO","Valle",409,1873,2035,745,208,183,18,144,15397,5615,"76828","MLR"
"TULUA","Valle",11471,13148,13036,12985,4467,3553,157,2057,147339,60874,"76834","OIZ"
"ULLOA","Valle",116,364,627,540,95,89,4,40,4658,1875,"76845","MLR"
"VERSALLES","Valle",170,752,1341,550,83,72,19,73,7982,3060,"76863","MLR"
"VIJES","Valle",360,564,2009,660,172,131,14,76,10112,3986,"76869","MLR"
"YOTOCO","Valle",493,1021,826,2146,316,217,252,142,13655,5413,"76890","JMS"
"YUMBO","Valle",8880,3955,5718,10597,2656,2199,895,1037,93764,35937,"76892","JMS"
"ZARZAL","Valle",2382,1694,2807,3972,999,759,54,637,35812,13304,"76895","JMS"
"BUENOS AIRES (PACOA)","Vaupés",4,5,8,30,23,2,0,0,990,72,"97511","JMS"
"CARURU","Vaupés",15,55,23,250,6,11,2,4,1631,366,"97161","JMS"
"MITU","Vaupés",331,657,262,2604,249,88,23,29,14724,4243,"97001","JMS"
"MORICHAL (PAPUNAGUA)","Vaupés",0,0,0,23,0,0,0,0,113,23,"97777","JMS"
"TARAIRA","Vaupés",9,67,11,126,9,6,0,0,1305,228,"97666","JMS"
"YAVARATE","Vaupés",22,49,7,201,22,7,0,3,994,311,"97889","JMS"
"CUMARIBO","Vichada",128,923,175,1682,83,81,22,58,18562,3152,"99773","JMS"
"LA PRIMAVERA","Vichada",67,1912,78,567,55,69,6,26,7190,2780,"99524","OIZ"
"PUERTO CARREÑO","Vichada",351,1857,523,1704,215,160,13,62,15621,4885,"99001","OIZ"
"SANTA ROSALIA","Vichada",32,713,30,289,20,21,4,9,2893,1118,"99624","OIZ"
"AFRICA","Consulados",1,5,1,6,3,1,0,2,17,19,NA,"JMS"
"ALEMANIA","Consulados",248,77,39,110,212,60,1,1,2852,748,"276","CL"
"ANTIGUA Y BARBUDA","Consulados",0,0,0,0,0,0,0,0,8,0,"7777777","EMPATE"
"ARGENTINA","Consulados",884,243,109,246,451,288,2,18,5771,2241,"32","CL"
"ARUBA","Consulados",76,355,67,122,64,33,3,2,2881,722,"533","OIZ"
"AUSTRALIA","Consulados",242,225,68,158,459,169,1,0,3843,1322,"36","EP"
"AUSTRIA","Consulados",50,21,5,40,47,20,0,1,513,184,"40","CL"
"BELGICA","Consulados",116,73,20,81,109,27,0,3,1402,429,"56","CL"
"BOLIVIA","Consulados",10,79,18,45,22,7,0,1,695,182,"68","OIZ"
"BRASIL","Consulados",269,124,49,120,200,69,0,4,2047,835,"76","CL"
"CANADA","Consulados",592,1352,253,688,1179,309,1,7,15466,4381,"124","OIZ"
"CHILE","Consulados",223,321,84,198,325,129,0,9,4304,1289,"152","EP"
"CHINA REPUBLICA POPULAR","Consulados",27,33,6,43,43,19,0,0,415,171,"156","EMPATE"
"CHIPRE","Consulados",1,6,3,2,1,3,0,0,42,16,"196","OIZ"
"COREA DEL SUR","Consulados",7,4,2,12,10,2,0,0,97,37,"410","JMS"
"COSTA RICA","Consulados",122,840,109,290,322,79,0,7,7400,1769,"188","OIZ"
"CUBA","Consulados",8,7,0,16,4,4,1,0,198,40,"192","JMS"
"CURAZAO","Consulados",31,119,31,49,17,6,0,1,1286,254,NA,"OIZ"
"DINAMARCA","Consulados",4,2,0,8,16,1,0,0,58,31,"208","EP"
"ECUADOR","Consulados",419,1447,426,1243,535,232,23,125,21324,4450,"218","OIZ"
"EGIPTO","Consulados",3,4,2,9,3,3,0,0,95,24,"818","JMS"
"EL SALVADOR","Consulados",16,67,12,30,45,13,0,0,472,183,"222","OIZ"
"EMIRATOS ARABES UNIDOS","Consulados",15,335,18,23,47,62,0,5,789,505,"784","OIZ"
"ESPAÑA","Consulados",1223,2327,508,1545,1292,765,12,83,80641,7755,"724","OIZ"
"ESTADOS UNIDOS","Consulados",1456,19284,1718,4773,4610,1113,20,56,183108,33030,"840","OIZ"
"FILIPINAS","Consulados",4,7,4,5,7,1,0,0,71,28,"608","EMPATE"
"FINLANDIA","Consulados",11,10,0,7,15,4,0,0,60,47,"246","EP"
"FRANCIA","Consulados",600,261,81,289,438,131,1,8,6805,1809,"250","CL"
"GRECIA","Consulados",0,6,0,1,7,4,0,0,49,18,"300","EP"
"GUATEMALA","Consulados",16,134,15,32,49,16,0,0,706,262,"320","OIZ"
"HOLANDA","Consulados",72,53,10,63,110,17,0,1,1537,326,"528","EP"
"HONDURAS","Consulados",5,40,6,15,20,4,0,0,432,90,"340","OIZ"
"INDIA","Consulados",1,0,3,9,4,3,0,0,81,20,"356","JMS"
"INDONESIA","Consulados",9,22,8,15,35,4,0,0,193,93,"360","EP"
"INGLATERRA","Consulados",278,421,94,325,501,116,0,7,8850,1742,"826","EP"
