"MUN","DEP","CL","OIZ","MLR","JMS","EP","BLANCOS","SIN.MARCA","NULOS","POTENCIAL","TOTAL"
"BUGA","Valle",6820,6898,7389,11962,4116,2745,92,1301,95582,41323
"BUGALAGRANDE","Valle",1780,1036,1411,2311,374,335,16,250,19210,7513
"CAICEDONIA","Valle",807,3229,4026,1794,673,476,150,399,28020,11554
"CALI","Valle",109571,97815,100014,128249,63681,35190,1103,11790,1549820,547413
"CALIMA (DARIEN)","Valle",764,1140,1053,1250,257,207,20,117,13672,4808
"CANDELARIA","Valle",5091,3326,4084,8368,1535,1466,69,1087,65386,25026
"CARTAGO","Valle",1961,3542,3565,2030,1045,805,57,487,108329,13492
"DAGUA","Valle",748,4627,1506,3821,377,440,73,224,33433,11816
"EL AGUILA","Valle",148,1210,1125,297,104,125,18,85,8191,3112
"EL CAIRO","Valle",134,674,490,793,121,87,19,35,6717,2353
"EL CERRITO","Valle",4419,2364,3609,5049,1174,877,210,525,51374,18227
"EL DOVIO","Valle",157,597,1246,1118,98,93,46,67,9688,3422
"FLORIDA","Valle",4318,2356,2921,4076,817,863,46,504,48039,15901
"GINEBRA","Valle",885,1273,1214,1766,556,326,17,195,15459,6232
"GUACARI","Valle",1944,1137,1374,4681,524,485,29,319,26635,10493
"JAMUNDI","Valle",4950,5397,4385,10252,2736,2005,68,974,91151,30767
"LA CUMBRE","Valle",464,1044,1075,1480,251,196,13,56,12307,4579
"LA UNION","Valle",1063,3152,4547,1270,596,622,51,433,25329,11734
"LA VICTORIA","Valle",430,1063,1555,889,136,185,14,136,11396,4408
"OBANDO","Valle",437,995,442,1927,209,227,30,148,11167,4415
"PALMIRA","Valle",18522,13394,13788,24611,8096,5144,333,2147,243441,86035
"PRADERA","Valle",2497,2673,1975,5093,731,814,217,482,38903,14482
"RESTREPO","Valle",331,1243,784,1465,242,271,23,118,14205,4477
"RIOFRIO","Valle",988,1178,2286,924,226,211,36,189,15959,6038
"ROLDANILLO","Valle",1164,2053,4823,2232,589,511,16,256,27445,11644
"SAN PEDRO","Valle",619,1151,950,1956,260,247,93,137,14446,5413
"SEVILLA","Valle",1836,3857,2219,3167,843,715,108,575,36736,13320
"TORO","Valle",231,1643,845,1078,196,156,28,125,12336,4302
"TRUJILLO","Valle",409,1873,2035,745,208,183,18,144,15397,5615
"TULUA","Valle",11424,13137,13002,12927,4458,3544,156,2054,147339,60702
"ULLOA","Valle",116,364,627,540,95,89,4,40,4658,1875
"VERSALLES","Valle",170,752,1341,550,83,72,19,73,7982,3060
"VIJES","Valle",360,564,2009,660,172,131,14,76,10112,3986
"YOTOCO","Valle",493,1021,826,2146,316,217,252,142,13655,5413
"YUMBO","Valle",8880,3955,5718,10597,2656,2199,895,1037,93764,35937
"ZARZAL","Valle",2355,1655,2703,3877,975,745,54,627,35812,12991
"BUENOS AIRES (PACOA)","Vaupés",4,5,8,30,23,2,0,0,990,72
"CARURU","Vaupés",15,55,23,250,6,11,2,4,1631,366
"MITU","Vaupés",330,656,262,2553,249,86,23,29,14724,4188
"MORICHAL (PAPUNAGUA)","Vaupés",0,0,0,23,0,0,0,0,113,23
"TARAIRA","Vaupés",9,67,11,126,9,6,0,0,1305,228
"YAVARATE","Vaupés",22,49,7,201,22,7,0,3,994,311
"CUMARIBO","Vichada",113,837,144,1482,76,74,22,50,18562,2798
"LA PRIMAVERA","Vichada",67,1912,78,567,55,69,6,26,7190,2780
"PUERTO CARREÃO","Vichada",351,1857,523,1704,215,160,13,62,15621,4885
"SANTA ROSALIA","Vichada",32,713,30,289,20,21,4,9,2893,1118
"AFRICA","Consulados",1,5,1,6,3,1,0,2,17,19
"ALEMANIA","Consulados",215,66,32,96,186,57,0,1,2852,653
"ANTIGUA Y BARBUDA","Consulados",0,0,0,0,0,0,0,0,8,0
"ARGENTINA","Consulados",884,243,109,246,451,288,2,18,5771,2241
"ARUBA","Consulados",76,355,67,122,64,33,3,2,2881,722
"AUSTRALIA","Consulados",242,225,68,158,459,169,1,0,3843,1322
"AUSTRIA","Consulados",50,21,5,40,47,20,0,1,513,184
"BELGICA","Consulados",116,73,20,81,109,27,0,3,1402,429
"BOLIVIA","Consulados",10,79,18,45,22,7,0,1,695,182
"BRASIL","Consulados",165,94,38,97,160,53,0,4,2047,611
"CANADA","Consulados",540,1234,226,641,1103,283,1,7,15466,4035
"CHILE","Consulados",223,321,84,198,325,129,0,9,4304,1289
"CHINA REPUBLICA POPULAR","Consulados",27,33,6,43,43,19,0,0,415,171
"CHIPRE","Consulados",0,0,0,0,0,0,0,0,42,0
"COREA DEL SUR","Consulados",7,4,2,12,10,2,0,0,97,37
"COSTA RICA","Consulados",41,317,41,106,128,33,0,3,7400,669
"CUBA","Consulados",8,7,0,16,4,4,1,0,198,40
"CURAZAO","Consulados",31,119,31,49,17,6,0,1,1286,254
"DINAMARCA","Consulados",4,2,0,8,16,1,0,0,58,31
"ECUADOR","Consulados",352,1289,350,1008,498,194,14,81,21324,3786
"EGIPTO","Consulados",3,4,2,9,3,3,0,0,95,24
"EL SALVADOR","Consulados",11,47,7,17,25,9,0,0,472,116
"EMIRATOS ARABES UNIDOS","Consulados",15,335,18,23,47,62,0,5,789,505
"ESPAÃA","Consulados",1223,2327,508,1545,1292,765,12,83,80641,7755
"ESTADOS UNIDOS","Consulados",928,12179,1029,2995,3175,707,16,38,183108,21067
"FILIPINAS","Consulados",4,7,4,5,7,1,0,0,71,28
"FINLANDIA","Consulados",11,10,0,7,15,4,0,0,60,47
"FRANCIA","Consulados",600,261,81,289,438,131,1,8,6805,1809
"GRECIA","Consulados",0,0,0,0,0,0,0,0,49,0
"GUATEMALA","Consulados",6,58,8,18,19,8,0,0,706,117
"HOLANDA","Consulados",72,53,10,63,110,17,0,1,1537,326
"HONDURAS","Consulados",3,16,4,11,13,3,0,0,432,50
"INDIA","Consulados",1,0,3,9,4,3,0,0,81,20
"INDONESIA","Consulados",9,22,8,15,35,4,0,0,193,93
"INGLATERRA","Consulados",278,421,94,325,501,116,0,7,8850,1742
"IRLANDA","Consulados",10,10,4,10,15,3,0,0,98,52
"ISRAEL","Consulados",11,30,1,22,21,7,0,2,744,94
"ITALIA","Consulados",114,153,62,113,184,53,1,3,4720,683
"JAMAICA","Consulados",2,2,0,5,3,2,0,0,287,14
"JAPON","Consulados",7,24,3,14,15,3,0,0,776,66
"KENIA","Consulados",2,5,3,8,2,2,0,0,62,22
"LIBANO","Consulados",5,40,0,54,6,2,0,0,653,107
"MALASIA","Consulados",4,10,2,3,20,3,0,0,105,42
"MARRUECOS","Consulados",2,6,0,2,4,0,0,0,16,14
"MEXICO","Consulados",230,347,41,173,302,69,0,3,4129,1165
"NICARAGUA","Consulados",3,11,2,14,7,2,0,0,214,39
"NORUEGA","Consulados",12,3,3,5,10,0,0,0,105,33
"NUEVA ZELANDIA","Consulados",14,15,7,10,51,21,0,0,185,118
"PANAMA","Consulados",48,490,67,178,208,38,0,1,10473,1030
"PARAGUAY","Consulados",10,25,5,15,10,7,0,0,258,72
"PERU","Consulados",112,320,74,176,240,53,0,2,2721,977
"POLONIA","Consulados",10,10,0,9,10,3,0,0,108,42
"PORTUGAL","Consulados",15,16,0,27,19,15,0,1,332,93
"PUERTO RICO","Consulados",25,151,15,59,53,21,1,0,1196,325
"REPUBLICA DOMINICANA","Consulados",35,162,23,70,110,34,0,1,1710,435
"RUSIA","Consulados",35,6,1,14,4,4,0,0,246,64
"SUDAFRICA","Consulados",7,31,2,11,23,3,0,0,186,77
"SUECIA","Consulados",66,44,5,43,59,17,0,4,1075,238
"SUIZA","Consulados",145,128,22,125,153,27,0,2,2486,602
"TAILANDIA","Consulados",2,3,1,12,8,6,0,0,52,32
"TRINIDAD Y TOBAGO","Consulados",4,18,10,14,19,3,0,0,103,68
"TURQUIA","Consulados",10,15,4,9,6,2,0,0,72,46
"URUGUAY","Consulados",29,34,5,30,30,16,0,3,388,147
"VENEZUELA","Consulados",1430,8232,790,8904,820,196,36,145,171944,20553
