"MUN","DEP","CL","OIZ","MLR","JMS","EP","BLANCOS","SIN.MARCA","NULOS","POTENCIAL","TOTAL"
"PESCA","Boyacá",309,769,727,298,66,63,10,55,6147,2297
"PISBA","Boyacá",34,289,35,64,29,11,7,9,968,478
"PUERTO BOYACA","Boyacá",1601,3938,2360,2762,835,653,73,609,31446,12831
"QUIPAMA","Boyacá",99,1079,249,363,38,40,19,60,4842,1947
"RAMIRIQUI","Boyacá",494,1233,646,576,184,143,4,100,8433,3380
"RAQUIRA","Boyacá",277,653,679,322,69,87,16,65,4405,2168
"RONDON","Boyacá",67,416,180,203,44,40,2,22,2246,974
"SABOYA","Boyacá",461,1333,1023,780,168,195,25,137,9419,4122
"SACHICA","Boyacá",275,287,298,412,99,56,7,55,3126,1489
"SAMACA","Boyacá",1091,905,1546,998,431,438,27,258,12663,5694
"SAN EDUARDO","Boyacá",60,247,116,114,36,69,36,8,1423,686
"SAN JOSE DE PARE","Boyacá",121,724,238,426,62,77,50,41,5155,1739
"SAN LUIS DE GACENO","Boyacá",163,1153,314,233,67,38,20,40,4485,2028
"SAN MATEO","Boyacá",62,1305,164,132,29,21,3,20,3708,1736
"SAN MIGUEL DE SEMA","Boyacá",84,267,472,211,43,39,7,28,2722,1151
"SAN PABLO DE BORBUR","Boyacá",92,1644,145,286,39,56,21,57,5775,2340
"SANTA MARIA","Boyacá",171,501,291,228,61,74,14,76,3377,1416
"SANTA ROSA DE VITERBO","Boyacá",602,1165,1364,415,337,156,5,92,7720,4136
"SANTA SOFIA","Boyacá",82,488,365,198,34,51,11,29,2960,1258
"SANTANA","Boyacá",212,724,254,926,60,81,10,36,6514,2303
"SATIVANORTE","Boyacá",54,456,140,210,20,17,8,15,2368,920
"SATIVASUR","Boyacá",39,82,184,90,15,8,2,15,1228,435
"SIACHOQUE","Boyacá",476,930,732,188,357,72,8,106,6011,2869
"SOATA","Boyacá",337,1465,949,1019,70,84,7,80,7203,4011
"SOCHA","Boyacá",533,656,497,283,121,121,11,84,6118,2306
"SOCOTA","Boyacá",196,1568,189,367,40,70,22,67,5885,2519
"SOGAMOSO","Boyacá",14318,9768,7385,5705,3754,1720,63,1023,84787,43736
"SOMONDOCO","Boyacá",203,497,192,160,54,36,4,19,2827,1165
"SORA","Boyacá",194,186,297,319,73,62,10,57,2431,1198
"SORACA","Boyacá",453,433,922,208,268,46,9,72,5044,2411
"SOTAQUIRA","Boyacá",266,536,612,284,195,45,6,67,5174,2011
"SUSACON","Boyacá",54,371,544,77,30,16,16,40,2581,1148
"SUTAMARCHAN","Boyacá",190,866,502,444,88,91,16,46,4949,2243
"SUTATENZA","Boyacá",158,698,235,245,72,57,18,48,3597,1531
"TASCO","Boyacá",382,410,154,580,105,61,14,51,4968,1757
"TENZA","Boyacá",123,594,263,207,82,52,12,73,3478,1406
"TIBANA","Boyacá",462,609,232,767,80,80,17,102,7410,2349
"TIBASOSA","Boyacá",1061,821,1151,497,264,150,11,140,7716,4095
"TINJACA","Boyacá",176,260,481,213,42,55,3,25,2559,1255
"TIPACOQUE","Boyacá",73,651,65,459,57,40,10,29,3260,1384
"TOCA","Boyacá",612,764,696,435,189,172,8,84,6746,2960
"TOGUI","Boyacá",115,342,349,399,25,56,14,60,4190,1360
"TOPAGA","Boyacá",258,514,439,182,64,33,3,44,2796,1537
"TOTA","Boyacá",127,858,201,294,44,33,19,47,3953,1623
"TUNJA","Boyacá",18326,7822,11348,8519,7257,2608,54,1295,108550,57229
"TUNUNGUA","Boyacá",38,136,48,270,13,21,0,10,1234,536
"TURMEQUE","Boyacá",658,375,350,436,76,181,10,71,5703,2157
"TUTA","Boyacá",747,533,1355,406,207,99,8,60,6865,3415
"TUTAZA","Boyacá",173,285,220,67,40,24,4,65,1759,878
"UMBITA","Boyacá",223,1409,804,309,77,101,15,71,5850,3009
"VENTAQUEMADA","Boyacá",879,774,1923,263,185,113,27,135,10549,4299
"VILLA DE LEIVA","Boyacá",865,1345,581,1205,625,234,19,143,9480,5017
"VIRACACHA","Boyacá",102,339,477,112,52,32,12,42,2580,1168
"ZETAQUIRA","Boyacá",158,473,128,297,65,101,3,24,3771,1249
"AGUADAS","Caldas",419,4053,1692,1196,199,319,127,350,18626,8355
"ANSERMA","Caldas",837,7347,2342,1278,400,574,68,531,27331,13377
"ARANZAZU","Caldas",212,2437,1178,654,194,220,47,306,11333,5248
"BELALCAZAR","Caldas",198,1814,883,1018,82,145,36,102,9981,4278
"CHINCHINA","Caldas",2159,6992,3064,3621,1235,1030,119,739,41818,18959
"FILADELFIA","Caldas",286,1479,567,1188,136,188,35,77,9505,3956
"LA DORADA","Caldas",2074,9700,2312,5731,938,1064,87,1222,56579,23128
"LA MERCED","Caldas",134,600,917,493,43,66,15,49,5612,2317
"MANIZALES","Caldas",28471,48165,26454,24760,16812,11456,461,5347,311783,161926
"MANZANARES","Caldas",178,4228,692,1118,108,213,47,166,15257,6750
"MARMATO","Caldas",538,684,270,294,70,110,17,102,6275,2085
"MARQUETALIA","Caldas",105,3792,917,392,55,107,42,104,11221,5514
"MARULANDA","Caldas",25,624,252,179,21,35,15,24,2674,1175
"NEIRA","Caldas",540,3965,1062,1609,457,578,82,406,18885,8699
"NORCASIA","Caldas",137,923,198,945,40,123,26,77,5564,2469
"PACORA","Caldas",212,2389,730,1280,227,206,70,147,11902,5261
"PALESTINA","Caldas",350,2253,799,2149,201,265,42,195,15055,6254
"PENSILVANIA","Caldas",188,6537,489,911,83,216,81,194,16824,8699
"RIOSUCIO","Caldas",2577,6985,1714,2554,535,727,155,638,36715,15885
"RISARALDA","Caldas",259,2428,643,760,88,191,45,108,10646,4522
"SALAMINA","Caldas",418,3032,704,1335,213,276,54,137,15417,6169
"SAMANA","Caldas",225,4172,482,1656,96,185,56,153,16062,7025
